primaBot/2011-4/0.7 /m_202207.csv
sampling,up_since,batt,sq,temperature,humidity,wind_speed,win_direction,tick,tipping_factor,sun_radiation,range,sensor_height
"2022-02-20T05:55:00+07", "2022-02-20T05:54:18+07", 12.3, 21, 27.4, 85.6, 0.0, "Te", 0, 0.2, nan, 0, nan
"2022-02-20T06:00:00+07", "2022-02-20T05:54:18+07", 12.3, 22, 27.3, 84.8, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T06:05:00+07", "2022-02-20T05:54:18+07", 12.3, 22, 27.4, 82.2, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T06:10:00+07", "2022-02-20T05:54:18+07", 12.3, 23, 27.4, 83.7, 0.0, "Te", 0, 0.2, nan, 0, nan
"2022-02-20T06:15:00+07", "2022-02-20T05:54:18+07", 12.3, 23, 27.3, 83.8, 0.0, "Te", 0, 0.2, nan, 0, nan
"2022-02-20T06:20:00+07", "2022-02-20T05:54:18+07", 12.3, 23, 27.3, 84.5, 0.0, "S", 0, 0.2, nan, 0, nan
"2022-02-20T06:25:00+07", "2022-02-20T05:54:18+07", 12.3, 23, 27.3, 85.1, 0.0, "S", 0, 0.2, nan, 0, nan
"2022-02-20T06:30:00+07", "2022-02-20T05:54:18+07", 12.3, 23, 27.2, 85.3, 0.0, "S", 0, 0.2, nan, 0, nan
"2022-02-20T06:35:00+07", "2022-02-20T05:54:18+07", 12.3, 23, 27.3, 85.3, 0.0, "S", 0, 0.2, nan, 0, nan
"2022-02-20T06:40:00+07", "2022-02-20T05:54:18+07", 12.3, 22, 27.3, 85.6, 0.0, "Te", 0, 0.2, nan, 0, nan
"2022-02-20T10:25:00+07", "2022-02-20T10:21:20+07", 12.3, 20, 28.2, 82.2, 0.0, "U", 0, 0.2, nan, 0, nan
"2022-02-20T10:30:00+07", "2022-02-20T10:21:20+07", 12.3, 21, 28.2, 82.2, 0.1, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T10:35:00+07", "2022-02-20T10:21:20+07", 12.3, 21, 28.2, 82.0, 0.1, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T10:40:00+07", "2022-02-20T10:21:20+07", 12.3, 21, 28.3, 81.1, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T10:45:00+07", "2022-02-20T10:21:20+07", 12.3, 20, 28.3, 80.8, 0.0, "U", 0, 0.2, nan, 0, nan
"2022-02-20T10:50:00+07", "2022-02-20T10:21:20+07", 12.3, 21, 28.3, 80.8, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T10:55:00+07", "2022-02-20T10:21:20+07", 12.3, 19, 28.3, 80.6, 0.0, "U", 0, 0.2, nan, 0, nan
"2022-02-20T11:00:00+07", "2022-02-20T10:21:20+07", 12.3, 20, 28.3, 80.3, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T11:05:00+07", "2022-02-20T10:21:20+07", 12.3, 21, 28.4, 80.7, 0.0, "U", 0, 0.2, nan, 0, nan
"2022-02-20T12:10:00+07", "2022-02-20T12:08:53+07", 12.3, 22, 29.3, 77.7, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T12:15:00+07", "2022-02-20T12:08:53+07", 12.3, 23, 29.4, 78.6, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T12:35:00+07", "2022-02-20T12:32:23+07", 12.3, 23, 29.5, 77.9, 0.0, "TL", 0, 0.2, nan, 0, nan
"2022-02-20T13:50:00+07", "2022-02-20T13:46:47+07", 12.3, 23, 30.0, 77.4, 0.0, "Te", 0, 0.2, nan, 0, nan
"2022-02-20T13:55:00+07", "2022-02-20T13:46:47+07", 12.3, 23, 29.9, 77.0, 0.0, "Te", 0, 0.2, nan, 0, nan
"2022-02-20T14:00:00+07", "2022-02-20T13:46:47+07", 12.3, 23, 30.0, 77.0, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:05:00+07", "2022-02-20T13:46:47+07", 12.3, 23, 30.0, 77.3, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:10:00+07", "2022-02-20T13:46:47+07", 12.3, 23, 29.9, 77.2, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:15:00+07", "2022-02-20T13:46:47+07", 12.3, 22, 30.0, 77.7, 2.3, "S", 0, 0.2, nan, 0, nan
"2022-02-20T14:20:00+07", "2022-02-20T13:46:47+07", 12.3, 22, 30.1, 77.3, 1.2, "U", 0, 0.2, nan, 0, nan
"2022-02-20T14:25:00+07", "2022-02-20T13:46:47+07", 12.3, 22, 30.1, 77.0, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:30:00+07", "2022-02-20T14:29:09+07", 12.3, 23, 30.1, 76.3, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:35:00+07", "2022-02-20T14:33:46+07", 12.3, 23, 30.1, 76.0, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:40:00+07", "2022-02-20T14:33:46+07", 12.3, 23, 30.2, 75.4, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:45:00+07", "2022-02-20T14:33:46+07", 12.3, 23, 30.2, 75.5, 0.0, "T", 0, 0.2, nan, 0, nan
"2022-02-20T14:50:00+07", "2022-02-20T14:46:32+07", 12.3, 22, 30.2, 75.5, 0.0, "T", 0, 0.2, nan, 0, nan
