primaBot/2207-2/0.8 AWLR/data/m_2022Jul.csv,,,,,,
sampling,up_since,batt,signal_quality,distance,sensor_height,sensor_resolution
2022-07-1T00:00:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T00:05:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T00:10:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T00:15:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T00:20:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T00:25:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T00:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T00:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T00:40:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T00:45:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T00:50:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T00:55:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:00:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:05:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:10:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:15:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:20:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:25:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:30:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T01:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:40:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:45:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:50:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T01:55:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:00:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:05:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:10:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:15:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:20:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:25:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:40:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:45:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T02:50:00+07,2022-06-28T14:00:36+07,12.2,15,9999,1000,0.1
2022-07-1T02:55:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:00:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:05:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:10:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:15:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:20:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:25:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:40:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:45:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:50:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T03:55:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:00:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:05:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T04:10:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:15:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T04:20:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:25:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:40:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T04:45:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T04:50:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T04:55:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T05:00:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:05:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:10:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:15:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:20:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:25:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:40:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:45:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T05:50:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T05:55:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T06:00:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T06:05:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T06:10:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T06:15:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T06:20:00+07,2022-06-28T14:00:36+07,12.1,14,9999,1000,0.1
2022-07-1T06:25:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T06:30:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T06:35:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T06:40:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
2022-07-1T06:45:00+07,2022-06-28T14:00:36+07,12.1,15,9999,1000,0.1
